Codigo,Descripcion,Existencias
205/65R15VIN,descripcion solo ejemplo,23
220231600,descripcion solo ejemplo,4
165/70R14AG ,descripcion solo ejemplo,5
1516025N ,descripcion solo ejemplo,-17
1516026N,descripcion solo ejemplo,7
347555,descripcion solo ejemplo,8
KG2789,descripcion solo ejemplo,9
DMNN1300,descripcion solo ejemplo,0
5LM10W30VAL,descripcion solo ejemplo,8
1L80W90MOB,descripcion solo ejemplo,12
1LDM15W40MOB,descripcion solo ejemplo,76
1LM10W30CAS,descripcion solo ejemplo,5
,,
220090200,descripcion solo ejemplo,7
230091800,descripcion solo ejemplo,7
331821,descripcion solo ejemplo,5
,,
220230204,descripcion solo ejemplo,4
11R22.5MINRACE,descripcion solo ejemplo,2
205/55R16VIN,descripcion solo ejemplo,435
333497L,descripcion solo ejemplo,4657
185/60R15VIN ,descripcion solo ejemplo,9
PEAK208LTS ,descripcion solo ejemplo,5
DMNK4120,descripcion solo ejemplo,0
515036DRIVE ,descripcion solo ejemplo,4
CD905DRI,descripcion solo ejemplo,-3
