Codigo,Descripcion,Existencias
11R22.5MINRACE,descripcion solo ejemplo,2
1516025N,descripcion solo ejemplo,0
1516026N,descripcion solo ejemplo,7
165/70R14AG,descripcion solo ejemplo,5
185/60R15VIN,descripcion solo ejemplo,9
1L80W90MOB,descripcion solo ejemplo,12
1LDM15W40MOB,descripcion solo ejemplo,76
1LM10W30CAS,descripcion solo ejemplo,5
205/55R16VIN,descripcion solo ejemplo,435
205/65R15VIN,descripcion solo ejemplo,23
220090200,descripcion solo ejemplo,7
220130202,descripcion solo ejemplo,0
220230204,descripcion solo ejemplo,4
220231600,descripcion solo ejemplo,4
230091800,descripcion solo ejemplo,7
331821,descripcion solo ejemplo,5
333497L,descripcion solo ejemplo,4657
342770,descripcion solo ejemplo,0
347555,descripcion solo ejemplo,8
515036DRIVE,descripcion solo ejemplo,4
5LM10W30VAL,descripcion solo ejemplo,8
CD905DRI,descripcion solo ejemplo,0
DMNK4120,descripcion solo ejemplo,0
DMNN1300,descripcion solo ejemplo,0
KG2789,descripcion solo ejemplo,9
PEAK208LTS,descripcion solo ejemplo,5
