Codigo,Descripcion,Existencias
205/65R15VIN,descripcion solo ejemplo,2
220231600,descripcion solo ejemplo,2
165/70R14AG ,descripcion solo ejemplo,2
1516025N ,descripcion solo ejemplo,1
1516026N,descripcion solo ejemplo,1
347555,descripcion solo ejemplo,2
KG2789,descripcion solo ejemplo,1
DMNN1300,descripcion solo ejemplo,1
5LM10W30VAL,descripcion solo ejemplo,12
1L80W90MOB,descripcion solo ejemplo,12
1LDM15W40MOB,descripcion solo ejemplo,12
1LM10W30CAS,descripcion solo ejemplo,30
220130202,descripcion solo ejemplo,1
220090200,descripcion solo ejemplo,1
230091800,descripcion solo ejemplo,2
331821,descripcion solo ejemplo,2
342770,descripcion solo ejemplo,2
220230204,descripcion solo ejemplo,1
11R22.5MINRACE,descripcion solo ejemplo,10
205/55R16VIN,descripcion solo ejemplo,1
333497L,descripcion solo ejemplo,1
185/60R15VIN ,descripcion solo ejemplo,2
PEAK208LTS ,descripcion solo ejemplo,1
DMNK4120,descripcion solo ejemplo,1
